Administrative Counties,Single Year of Age,Female,Male,Difference (Female - Male)
Longford County Council,14,352,372,-20
Longford County Council,15,358,384,-26
Longford County Council,16,327,340,-13
Longford County Council,17,314,331,-17
Longford County Council,18,272,337,-65
Longford County Council,19,276,287,-11
Longford County Council,20,246,315,-69
Longford County Council,21,233,274,-41
Longford County Council,22,257,259,-2
Longford County Council,23,232,266,-34
Longford County Council,24,207,239,-32
Longford County Council,25,231,210,21
Longford County Council,26,237,250,-13
Longford County Council,27,232,230,2
Longford County Council,28,218,224,-6
Longford County Council,29,256,205,51
Longford County Council,30,287,263,24
Longford County Council,31,252,232,20
Longford County Council,32,271,267,4
Longford County Council,33,288,261,27
Longford County Council,34,337,291,46
Longford County Council,35,317,296,21
Longford County Council,36,347,331,16
Longford County Council,37,345,275,70
Longford County Council,38,378,333,45
Longford County Council,39,388,337,51
Longford County Council,40,409,396,13
Longford County Council,41,367,410,-43
Longford County Council,42,438,384,54
Longford County Council,43,360,384,-24
Longford County Council,44,340,334,6
Longford County Council,45,391,365,26
Longford County Council,46,334,333,1
Longford County Council,47,326,355,-29
Longford County Council,48,319,307,12
Longford County Council,49,322,366,-44
Longford County Council,50,312,309,3
Longford County Council,51,330,328,2
Longford County Council,52,305,319,-14
Longford County Council,53,304,296,8
Longford County Council,54,287,315,-28
Longford County Council,55,315,275,40
Longford County Council,56,256,283,-27
Longford County Council,57,263,307,-44
Longford County Council,58,232,277,-45
Longford County Council,59,272,263,9
Longford County Council,60,259,269,-10
Longford County Council,61,261,263,-2
Longford County Council,62,233,266,-33
Longford County Council,63,237,226,11
Longford County Council,64,230,216,14
Longford County Council,65,261,214,47
Longford County Council,66,220,217,3
Longford County Council,67,213,229,-16
Longford County Council,68,205,243,-38
Longford County Council,69,221,212,9
Longford County Council,70,189,244,-55
Longford County Council,71,191,199,-8
Longford County Council,72,217,202,15
Longford County Council,73,182,193,-11
Longford County Council,74,179,192,-13
Longford County Council,75,180,164,16
Longford County Council,76,187,172,15
Longford County Council,77,160,136,24
Longford County Council,78,121,140,-19
Longford County Council,79,126,109,17
Longford County Council,80,115,92,23
Longford County Council,81,87,92,-5
Longford County Council,82,84,80,4
Longford County Council,83,75,68,7
Longford County Council,84,74,66,8
Longford County Council,85,78,65,13
Longford County Council,86,79,61,18
Longford County Council,87,65,37,28
Longford County Council,88,49,42,7
Longford County Council,89,42,31,11
Longford County Council,90,39,17,22
Longford County Council,91,32,11,21
Longford County Council,92,19,7,12
Longford County Council,93,30,6,24
Longford County Council,94,19,7,12
Longford County Council,95,10,1,9
Longford County Council,96,10,3,7
Longford County Council,97,6,2,4
Longford County Council,98,6,0,6
